cluster,avg(recency_days),avg(order_count),avg(log_total_spent),avg(completion_rate),avg(refund_rate),avg(avg_review_score),avg(click_through_rate),avg(favorite_rate),avg(cart_rate),avg(engagement_score),avg(member_level_score),avg(credit_score),avg(log_account_balance),cluster_name
0,48.63717805151176,3.2530795072788354,8.662362187286066,0.6569131161236424,0.027610249026822378,4.000373273609556,1.2862128726070494,0.9397136458166693,0.7385258358662614,3.4304031354983207,2.5162374020156775,651.1254199328107,7.9712872977622435,潜力成长群体
1,179.37358490566038,0.03018867924528302,0.15861182985096078,0.0,0.0,3.0,0.670167714884696,0.38067834681042234,0.23401317759808327,2.1298113207547167,2.520754716981132,655.1698113207547,7.863463167706947,流失风险群体
2,66.95031055900621,2.2337662337662336,8.178090848155607,0.46833776989056497,0.05106880696942808,3.1202710333145114,0.47294282666953485,0.2352318661324872,0.13695271257383057,1.8014680971202708,2.4522868435911915,649.7018633540373,7.933499525829531,中等价值稳定群体
3,37.31916948334138,3.926122646064703,9.014531797169365,0.7036254707790197,0.02106334970893155,4.50957669402865,0.48963731959869095,0.2289107708108191,0.1251948679037042,1.7617576050217283,2.5050700144857556,647.9748913568325,7.88957741916486,高价值核心群体
