cluster,avg(recency_days),avg(order_count),avg(log_total_spent),avg(completion_rate),avg(refund_rate),avg(avg_review_score),avg(click_through_rate),avg(favorite_rate),avg(cart_rate),avg(engagement_score),avg(member_level_score),avg(credit_score),avg(log_account_balance),cluster_name
0,49.18456883509833,3.195158850226929,8.66767807256884,0.634806570131835,0.019306966356890713,3.9800806858295523,1.435098335854765,1.0376701966717095,0.8411245587493696,3.4984871406959153,2.4947049924357034,648.4402420574886,7.92836397909556,潜力成长群体
1,66.6013698630137,2.127397260273973,8.155969557510547,0.46597031963470326,0.00030821917808219177,3.0561643835616437,0.4611263318112634,0.25532479886931936,0.1438554577081974,1.8330821917808218,2.4856164383561645,649.9842465753425,7.960359800472078,一般活跃群体
2,54.7,2.6608695652173915,8.56370505911717,0.30695652173913046,0.4671014492753623,3.4543478260869565,0.590843685300207,0.3176708074534161,0.2199792960662526,2.000652173913043,2.360869565217391,647.4130434782609,7.858451167524842,一般活跃群体
3,24.993366500829186,5.1318407960199,9.469464162583584,0.6026817111394225,0.03053546324690603,4.336511885019348,0.5390975019084472,0.25404360472768434,0.1396983337281845,1.851824212271974,2.2504145936981756,647.2744610281924,7.986380633503294,高价值核心群体
4,179.49429657794676,0.022813688212927757,0.1144876774361169,0.0,0.0,3.0,0.6726024503591044,0.3809116422234293,0.23484217514635766,2.1262357414448667,2.5209125475285172,655.6958174904943,7.87912020730176,流失风险群体
5,56.902542372881356,2.5211864406779663,8.3669736011919,0.8270338983050848,0.001059322033898305,4.513983050847457,0.5025581786386871,0.24781275221953186,0.14956920903954804,1.8858474576271185,2.752542372881356,650.9245762711864,7.811625818433131,中等价值稳定群体
