cluster,avg(recency_days),avg(order_count),avg(log_total_spent),avg(completion_rate),avg(refund_rate),avg(review_rate),avg(avg_review_score),avg(click_through_rate),avg(favorite_rate),avg(cart_rate),avg(credit_score),avg(log_account_balance),cluster_name
0,43.007554671968194,3.6755467196819085,8.871622455456457,0.7115936195459058,0.02156567532313059,0.4685927326483988,4.473724320742214,0.4905154785572281,0.2646363091293509,0.16801902868503263,648.6747514910537,7.914619593206082,高价值核心群体
1,78.66306027820711,2.029366306027821,7.1637109500336225,0.38496724810480604,0.04244437084467997,0.0016314614459900397,3.0046367851622873,0.49140824971582325,0.2822360835111994,0.17616573849185904,652.2627511591963,7.915948079224927,流失风险群体
2,47.748161764705884,3.3400735294117645,8.663827909356698,0.618342962184874,0.040622811624649854,0.30586922268907557,3.950827205882353,1.8204656862745099,1.1348039215686274,0.8434436274509806,643.7389705882352,7.944110832701597,潜力成长群体
