cluster,avg(recency_days),avg(order_count),avg(log_total_spent),avg(log_avg_order_amount),avg(log_total_quantity),avg(completion_rate),avg(refund_rate),avg(cancel_rate),avg(review_rate),avg(avg_review_score),avg(browse),avg(click_through_rate),avg(favorite_rate),avg(cart_rate),avg(cart_to_favorite_ratio),avg(avg_duration_seconds),avg(engagement_score),avg(member_level_score),avg(credit_score),avg(log_account_balance),avg(age),avg(registration_days),cluster_name
0,179.9922480620155,0.003875968992248062,0.014790513708051987,0.014790513708051987,0.0026866169789145165,0.003875968992248062,0.0,0.0,0.0,3.0,3.003875968992248,0.6698105081826011,0.3795727205610927,0.2384243878429925,0.4780361757105943,231.6778618130362,2.118023255813953,2.5193798449612403,654.1705426356589,7.874016137886663,31.430232558139537,941.937984496124,流失风险群体
1,68.5752,2.0088,8.055527097220251,7.480601496667116,1.8067976585618202,0.48590666666666676,0.06047999999999999,0.00036,0.004999999999999999,3.012,3.1152,0.5310742857142856,0.3135066666666666,0.13104952380952384,0.37779999999999997,237.4677507936508,1.85664,2.4496,650.3424,7.951301625828233,31.9296,961.6352,一般活跃群体
2,62.55239064089522,2.2461851475076298,8.166903853463142,7.438788594675281,1.9037280199748405,0.8571719226856559,0.006781959986436079,0.006358087487283825,0.671804001356392,4.4831298745337405,3.100712105798576,0.6106577693810655,0.3432212695183194,0.14409242842610084,0.39106476771787047,229.92111060353682,1.971820956256358,2.527975584944049,652.265513733469,7.931302243541174,31.85859613428281,909.8667344862665,中等价值稳定群体
3,28.326629680998614,4.788488210818308,9.394931753585203,7.8682384224272,2.700388987726789,0.6137942347373692,0.03204514702434258,0.06108054759233679,0.30591606151592277,4.347549699491447,3.147018030513176,0.5626298901437597,0.2615690289060608,0.09432253483917838,0.27352057327785484,254.0878480434652,1.719174757281554,2.4334257975034674,646.6005547850208,7.906445063055045,31.597087378640776,930.134535367545,高价值核心群体
4,45.555882352941175,3.461764705882353,8.794468082709617,7.660902424840393,2.2994456548555475,0.6299754901960785,0.033595938375350146,0.058203781512605045,0.29812149859943976,4.003063725490196,2.0764705882352943,1.0796113445378153,0.7595238095238094,0.964452030812325,1.4634436274509806,159.6974347955966,3.5385294117647055,2.5308823529411764,645.9176470588235,7.924715288042934,31.00294117647059,932.035294117647,潜力成长群体
5,55.17571059431525,2.6382428940568476,8.529701848190266,7.638184590772297,2.0757608387902633,0.28113695090439283,0.01912144702842377,0.4962101636520242,0.097114556416882,3.347545219638243,3.2635658914728682,0.504973134818096,0.2838644846396784,0.16674459620196055,0.4599483204134367,224.37441727092886,2.0050387596899224,2.6330749354005167,654.1343669250646,7.841670061041219,32.36434108527132,956.625322997416,一般活跃群体
