cluster,avg(recency_days),avg(order_count),avg(log_total_spent),avg(completion_rate),avg(refund_rate),avg(avg_review_score),avg(click_through_rate),avg(favorite_rate),avg(cart_rate),avg(engagement_score),avg(member_level_score),avg(credit_score),avg(log_account_balance),cluster_name
0,53.966265060240964,3.233734939759036,8.674828481263612,0.6540473983847477,0.015500904717772187,3.9781124497991964,1.8228915662650604,1.4746987951807229,0.34859437751004013,2.792530120481927,2.585542168674699,647.9638554216867,8.028375903446287,潜力成长群体
1,46.300891530460625,3.260772659732541,8.710420803516053,0.6311762284273428,0.010456761951932828,3.9252290737989104,0.44661902403358594,0.17723826033632867,0.07234943630746009,1.4498699851411592,2.488484398216939,647.9866270430906,7.897141775255293,中等价值稳定群体
2,53.46186440677966,2.7033898305084745,8.56455142621121,0.30798022598870056,0.4644067796610169,3.5042372881355934,0.615874697336562,0.30853510895883773,0.2514628732849072,2.051271186440678,2.3135593220338984,647.3389830508474,7.905153744890338,一般活跃群体
3,47.11764705882353,3.3347141673570837,8.72869474345271,0.6764859507610128,0.012045176585358855,4.005827119580226,0.6700378743046514,0.4320452124511776,0.6046682053102932,3.317439933719967,2.492957746478873,652.6743993371997,7.958885175191947,高价值核心群体
4,156.21777777777777,0.4822222222222222,2.9438677721231383,0.03,0.0,3.006666666666667,0.5887169312169311,0.32732363315696644,0.21050617283950618,2.0367777777777776,2.486666666666667,652.9288888888889,7.841883205578416,流失风险群体
