cluster,avg(recency_days),avg(order_count),avg(log_total_spent),avg(log_avg_order_amount),avg(log_total_quantity),avg(completion_rate),avg(refund_rate),avg(cancel_rate),avg(review_rate),avg(avg_review_score),avg(browse),avg(click_through_rate),avg(favorite_rate),avg(cart_rate),avg(cart_to_favorite_ratio),avg(avg_duration_seconds),avg(engagement_score),avg(member_level_score),avg(credit_score),avg(log_account_balance),avg(age),avg(registration_days),cluster_name
0,48.039520958083834,3.364071856287425,8.731461676680206,7.640987291497919,2.2531524091535906,0.6698327155213383,0.02710008554319932,0.05003659347970726,0.3561733675506131,4.0867265469061875,2.0826347305389223,1.0624379811804963,0.7503507271171941,0.8709309951525519,1.3463772455089822,161.03616290894735,3.4116766467065873,2.5365269461077844,646.6958083832335,7.949211831928354,30.980838323353293,919.3592814371258,潜力成长群体
1,179.9922480620155,0.003875968992248062,0.014790513708051987,0.014790513708051987,0.0026866169789145165,0.003875968992248062,0.0,0.0,0.0,3.0,3.003875968992248,0.6698105081826011,0.3795727205610927,0.2384243878429925,0.4780361757105943,231.6778618130362,2.118023255813953,2.5193798449612403,654.1705426356589,7.874016137886663,31.430232558139537,941.937984496124,流失风险群体
2,63.93476592478895,2.3399846508058326,8.20675461628083,7.519726663492702,1.9088397564508994,0.5131747249936044,0.012530607024083614,0.011915725614881408,0.002558199027884369,3.0061396776669227,3.1396776669224864,0.5354091291159595,0.30034809779629423,0.11336110806563607,0.33902532617037606,241.38464222100055,1.8056792018419034,2.446661550268611,651.0598618572525,7.9672870201244095,31.77590176515733,950.0636991557943,中等价值稳定群体
3,58.326710816777044,2.5386313465783665,8.499481322085916,7.662426881180276,2.0486112336785807,0.22847682119205295,0.16692420897718913,0.3869389256806476,0.06887417218543047,3.2163355408388523,3.0905077262693155,0.5684764707943516,0.3058752934580749,0.18965713584918883,0.5069904341427521,222.1269668276291,2.081456953642384,2.5607064017660046,649.0816777041942,7.794614014079913,32.52317880794702,980.9006622516556,一般活跃群体
4,42.09390980939098,3.7150162715016273,8.875761532168669,7.682456690819918,2.3682676773119518,0.7163091441334117,0.020524587505061698,0.04360761274987216,0.4723998843245707,4.496629474662948,3.219432821943282,0.5405385461173469,0.26793407274578823,0.09343273339089238,0.29222842088950873,248.74759247932184,1.755392840539284,2.4779172477917246,649.2426778242677,7.9080876861196225,31.795908879590886,925.9642026964202,高价值核心群体
